## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[F2505050072_CompN_S111_grouped.bam] OUTPUT=F2505050072_CompN_S111_marked.bam METRICS_FILE=marked_dup_metrics.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Aug 15 16:03:23 GMT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	16732	3345829	0	80662	10600	680922	5859	0.204586	7106976

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.001374	2191955	0	2195782
2.0	1.626746	349680	5786	347049
3.0	2.0173	80066	26	79330
4.0	2.261206	24413	5	24127
5.0	2.413529	9570	0	9477
6.0	2.508657	4159	0	4123
7.0	2.568066	2145	1	2124
8.0	2.605168	1144	0	1141
9.0	2.628338	647	0	636
10.0	2.642809	381	0	375
11.0	2.651845	233	0	232
12.0	2.657489	152	0	151
13.0	2.661014	97	0	96
14.0	2.663215	81	0	83
15.0	2.664589	61	0	60
16.0	2.665448	30	0	28
17.0	2.665984	24	0	27
18.0	2.666319	26	0	25
19.0	2.666528	11	0	10
20.0	2.666659	8	0	7
21.0	2.66674	4	0	4
22.0	2.666791	2	0	2
23.0	2.666823	7	0	7
24.0	2.666843	2	0	2
25.0	2.666855	0	0	0
26.0	2.666863	2	0	2
27.0	2.666868	0	0	0
28.0	2.666871	0	0	0
29.0	2.666873	0	0	0
30.0	2.666874	1	0	1
31.0	2.666875	0	0	0
32.0	2.666875	0	0	0
33.0	2.666875	0	0	0
34.0	2.666876	1	0	1
35.0	2.666876	1	0	1
36.0	2.666876	1	0	1
37.0	2.666876	1	0	1
38.0	2.666876	1	0	1
39.0	2.666876	1	0	1
40.0	2.666876	0	0	0
41.0	2.666876	0	0	0
42.0	2.666876	0	0	0
43.0	2.666876	0	0	0
44.0	2.666876	0	0	0
45.0	2.666876	0	0	0
46.0	2.666876	0	0	0
47.0	2.666876	0	0	0
48.0	2.666876	0	0	0
49.0	2.666876	0	0	0
50.0	2.666876	0	0	0
51.0	2.666876	0	0	0
52.0	2.666876	0	0	0
53.0	2.666876	0	0	0
54.0	2.666876	0	0	0
55.0	2.666876	0	0	0
56.0	2.666876	0	0	0
57.0	2.666876	0	0	0
58.0	2.666876	0	0	0
59.0	2.666876	0	0	0
60.0	2.666876	0	0	0
61.0	2.666876	0	0	0
62.0	2.666876	0	0	0
63.0	2.666876	0	0	0
64.0	2.666876	0	0	0
65.0	2.666876	0	0	0
66.0	2.666876	0	0	0
67.0	2.666876	0	0	0
68.0	2.666876	0	0	0
69.0	2.666876	0	0	0
70.0	2.666876	0	0	0
71.0	2.666876	0	0	0
72.0	2.666876	0	0	0
73.0	2.666876	0	0	0
74.0	2.666876	0	0	0
75.0	2.666876	0	0	0
76.0	2.666876	0	0	0
77.0	2.666876	0	0	0
78.0	2.666876	0	0	0
79.0	2.666876	0	0	0
80.0	2.666876	0	0	0
81.0	2.666876	0	0	0
82.0	2.666876	0	0	0
83.0	2.666876	0	0	0
84.0	2.666876	0	0	0
85.0	2.666876	0	0	0
86.0	2.666876	0	0	0
87.0	2.666876	0	0	0
88.0	2.666876	0	0	0
89.0	2.666876	0	0	0
90.0	2.666876	0	0	0
91.0	2.666876	0	0	0
92.0	2.666876	0	0	0
93.0	2.666876	0	0	0
94.0	2.666876	0	0	0
95.0	2.666876	0	0	0
96.0	2.666876	0	0	0
97.0	2.666876	0	0	0
98.0	2.666876	0	0	0
99.0	2.666876	0	0	0
100.0	2.666876	0	0	0

